mass_A
t	x	y
0.000000000E0	3.849361079E-2	5.818572182E-1
1.000000000E-2	4.370205279E-2	5.724794011E-1
2.000000000E-2	4.898906656E-2	5.628028545E-1
3.000000000E-2	5.451740887E-2	5.524479296E-1
4.000000000E-2	6.058848406E-2	5.418601753E-1
5.000000000E-2	6.689823791E-2	5.305685803E-1
6.000000000E-2	7.328413854E-2	5.189225485E-1
7.000000000E-2	8.027212453E-2	5.064982952E-1
8.000000000E-2	8.746059815E-2	4.936207158E-1
9.000000000E-2	9.529264312E-2	4.805851470E-1
1.000000000E-1	1.036854655E-1	4.676449195E-1
1.100000000E-1	1.120082711E-1	4.533991430E-1
1.200000000E-1	1.210998760E-1	4.388799547E-1
1.300000000E-1	1.307000093E-1	4.242799078E-1
1.400000000E-1	1.412787892E-1	4.093408674E-1
1.500000000E-1	1.519662140E-1	3.938963436E-1
1.600000000E-1	1.634833182E-1	3.786360410E-1
1.700000000E-1	1.756748998E-1	3.624006900E-1
1.800000000E-1	1.886115269E-1	3.463615559E-1
1.900000000E-1	2.022883199E-1	3.302179318E-1
2.000000000E-1	2.170532146E-1	3.138534808E-1
2.100000000E-1	2.325984919E-1	2.978342221E-1
2.200000000E-1	2.491832841E-1	2.819863081E-1
2.300000000E-1	2.654293139E-1	2.675775070E-1
2.400000000E-1	2.833979010E-1	2.499922741E-1
2.500000000E-1	3.020624017E-1	2.341596249E-1
2.600000000E-1	3.224433496E-1	2.193997289E-1
2.700000000E-1	3.417887723E-1	2.045592719E-1
2.800000000E-1	3.631698302E-1	1.895583821E-1
2.900000000E-1	3.852692177E-1	1.757003454E-1
3.000000000E-1	4.070435274E-1	1.635180812E-1
3.100000000E-1	4.309601233E-1	1.490757731E-1
3.200000000E-1	4.553051489E-1	1.371811709E-1
3.300000000E-1	4.800490863E-1	1.255530570E-1
3.400000000E-1	5.055311018E-1	1.161988114E-1
3.500000000E-1	5.305347875E-1	1.073603064E-1
3.600000000E-1	5.556919735E-1	9.549825640E-2
3.700000000E-1	5.816720469E-1	8.561380994E-2
3.800000000E-1	6.087762311E-1	7.570443278E-2
3.900000000E-1	6.357134939E-1	6.690131596E-2
4.000000000E-1	6.636229838E-1	5.911119243E-2
4.100000000E-1	6.919953932E-1	5.020231555E-2
4.200000000E-1	7.199808460E-1	4.292222673E-2
4.300000000E-1	7.480531396E-1	3.650309191E-2
4.400000000E-1	7.770573086E-1	3.117217082E-2
4.500000000E-1	8.064517217E-1	2.714790626E-2
4.600000000E-1	8.358160601E-1	2.388560172E-2
4.700000000E-1	8.649994429E-1	2.160210225E-2
4.800000000E-1	8.503333909E-1	-3.531243851E-3
4.900000000E-1	9.250685171E-1	1.785617626E-2
5.000000000E-1	8.497836662E-1	-3.763659994E-3
5.100000000E-1	8.439635327E-1	-3.979338542E-3
5.200000000E-1	8.499579207E-1	-4.378345945E-3
5.300000000E-1	8.486202448E-1	-3.630885576E-3
5.400000000E-1	8.486453722E-1	-3.563535490E-3
5.500000000E-1	8.484393929E-1	-3.611342137E-3
5.600000000E-1	8.484896182E-1	-3.540621963E-3
5.700000000E-1	8.485722234E-1	-3.522929300E-3
