mass_A
t	x	y
0.000000000E0	2.773968890E-2	6.358752995E-1
1.000000000E-2	3.470144266E-2	6.317988016E-1
2.000000000E-2	4.171775643E-2	6.277231196E-1
3.000000000E-2	4.886494740E-2	6.236452950E-1
4.000000000E-2	5.603176920E-2	6.194653607E-1
5.000000000E-2	6.426969714E-2	6.146165072E-1
6.000000000E-2	7.255748172E-2	6.097360473E-1
7.000000000E-2	8.089360198E-2	6.047888750E-1
8.000000000E-2	8.935633247E-2	5.993350188E-1
9.000000000E-2	9.775012065E-2	5.942537284E-1
1.000000000E-1	1.070856691E-1	5.884593740E-1
1.100000000E-1	1.166144625E-1	5.821464875E-1
1.200000000E-1	1.253955923E-1	5.769347320E-1
1.300000000E-1	1.348033182E-1	5.704598947E-1
1.400000000E-1	1.454427707E-1	5.639697779E-1
1.500000000E-1	1.546373121E-1	5.578823463E-1
1.600000000E-1	1.652814563E-1	5.506389003E-1
1.700000000E-1	1.760719354E-1	5.437201159E-1
1.800000000E-1	1.871407207E-1	5.365246841E-1
1.900000000E-1	1.981321274E-1	5.293485251E-1
2.000000000E-1	2.104619204E-1	5.214333839E-1
2.100000000E-1	2.220842108E-1	5.139266581E-1
2.200000000E-1	2.353680051E-1	5.059600826E-1
2.300000000E-1	2.482353343E-1	4.982434093E-1
2.400000000E-1	2.615158615E-1	4.901542999E-1
2.500000000E-1	2.752081231E-1	4.816895567E-1
2.600000000E-1	2.888862990E-1	4.736351401E-1
2.700000000E-1	3.035054456E-1	4.645470591E-1
2.800000000E-1	3.179072925E-1	4.569351966E-1
2.900000000E-1	3.327789774E-1	4.469128237E-1
3.000000000E-1	3.478196201E-1	4.381148361E-1
3.100000000E-1	3.631750980E-1	4.285856959E-1
3.200000000E-1	3.788881109E-1	4.196045450E-1
3.300000000E-1	3.953348623E-1	4.098536998E-1
3.400000000E-1	4.115612462E-1	4.003846986E-1
3.500000000E-1	4.284635420E-1	3.902747367E-1
3.600000000E-1	4.457437854E-1	3.802408518E-1
3.700000000E-1	4.631634077E-1	3.701390498E-1
3.800000000E-1	4.814328726E-1	3.590573603E-1
3.900000000E-1	5.041280940E-1	3.527785898E-1
4.000000000E-1	5.178427648E-1	3.376722079E-1
4.100000000E-1	5.366237074E-1	3.263125803E-1
4.200000000E-1	5.555088463E-1	3.154220865E-1
4.300000000E-1	5.748282092E-1	3.040394458E-1
4.400000000E-1	5.948895153E-1	2.920105900E-1
4.500000000E-1	6.148205500E-1	2.804333371E-1
4.600000000E-1	6.356500866E-1	2.686904154E-1
4.700000000E-1	6.567859559E-1	2.565074068E-1
4.800000000E-1	6.783777982E-1	2.445983110E-1
4.900000000E-1	7.016223072E-1	2.317433539E-1
5.000000000E-1	7.217547833E-1	2.209179028E-1
5.100000000E-1	7.447818427E-1	2.088688166E-1
5.200000000E-1	7.674584136E-1	1.974133910E-1
5.300000000E-1	7.913496863E-1	1.855125043E-1
5.400000000E-1	8.148707125E-1	1.739271565E-1
5.500000000E-1	8.391684043E-1	1.618150791E-1
5.600000000E-1	8.631299164E-1	1.510304065E-1
5.700000000E-1	8.978056872E-1	1.337941755E-1
5.800000000E-1	9.149854657E-1	1.256966743E-1
5.900000000E-1	9.396922496E-1	1.142761765E-1
6.000000000E-1	9.654134082E-1	1.030705558E-1
6.100000000E-1	9.925377912E-1	9.114319001E-2
6.200000000E-1	1.020029296E0	7.874134482E-2
6.300000000E-1	1.046560114E0	6.867818344E-2
6.400000000E-1	1.075523048E0	6.247133788E-2
6.500000000E-1	1.103134985E0	4.545741183E-2
6.600000000E-1	1.131682157E0	3.431346108E-2
6.700000000E-1	1.160316277E0	2.398725203E-2
6.800000000E-1	1.191772413E0	1.208380927E-2
