mass_A
t	x	y
0,000000000E0	9,056803589E-2	3,635770751E-1
1,000000000E-2	9,728956122E-2	3,521430136E-1
2,000000000E-2	1,042900496E-1	3,398782832E-1
3,000000000E-2	1,114696355E-1	3,273990947E-1
4,000000000E-2	1,193831469E-1	3,146848909E-1
5,000000000E-2	1,278113112E-1	3,009555722E-1
6,000000000E-2	1,362148577E-1	2,871542913E-1
7,000000000E-2	1,452444896E-1	2,729710934E-1
8,000000000E-2	1,549426897E-1	2,582716806E-1
9,000000000E-2	1,651855615E-1	2,430816496E-1
1,000000000E-1	1,757539297E-1	2,277895271E-1
1,100000000E-1	1,871629603E-1	2,123824007E-1
1,200000000E-1	1,992736450E-1	1,962063018E-1
1,300000000E-1	2,119406655E-1	1,804209529E-1
1,400000000E-1	2,249632230E-1	1,645187784E-1
1,500000000E-1	2,389783703E-1	1,476234397E-1
1,600000000E-1	2,541022246E-1	1,313199663E-1
1,700000000E-1	2,699290754E-1	1,147945315E-1
1,800000000E-1	2,865566642E-1	9,865296932E-2
1,900000000E-1	3,040365154E-1	8,262748530E-2
2,000000000E-1	3,216771487E-1	6,786915023E-2
2,100000000E-1	3,411327016E-1	5,118547538E-2
2,200000000E-1	3,609776799E-1	3,599420103E-2
2,300000000E-1	3,818194228E-1	2,129359259E-2
2,400000000E-1	4,034111324E-1	6,648147828E-3
2,500000000E-1	4,260258894E-1	-7,058806790E-3
2,600000000E-1	4,494761799E-1	-2,039761175E-2
2,700000000E-1	4,734819588E-1	-3,259606272E-2
2,800000000E-1	4,985671974E-1	-4,360831677E-2
2,900000000E-1	5,238860824E-1	-5,343607293E-2
3,000000000E-1	5,495318699E-1	-6,230492188E-2
3,100000000E-1	5,762492733E-1	-6,977551405E-2
3,200000000E-1	6,039713822E-1	-7,466144066E-2
3,300000000E-1	6,316914492E-1	-7,891218516E-2
3,400000000E-1	6,598624666E-1	-8,114092891E-2
3,500000000E-1	6,881535291E-1	-8,210673851E-2
3,600000000E-1	7,160100912E-1	-8,113401889E-2
3,700000000E-1	7,438462125E-1	-7,761940546E-2
3,800000000E-1	7,721729351E-1	-7,638075833E-2
3,900000000E-1	7,996087626E-1	-7,315929941E-2
4,000000000E-1	8,280430930E-1	-6,817802665E-2
4,100000000E-1	8,544322638E-1	-6,273465843E-2
4,200000000E-1	8,819560885E-1	-5,681366713E-2
4,300000000E-1	9,081347329E-1	-5,029089319E-2
4,400000000E-1	9,354172926E-1	-4,264909543E-2
4,500000000E-1	9,613408041E-1	-3,588943685E-2
4,600000000E-1	9,872438253E-1	-2,864482949E-2
4,700000000E-1	1,012176809E0	-2,122851923E-2
4,800000000E-1	1,038057696E0	-1,368933280E-2
4,900000000E-1	1,063383475E0	-6,355480288E-3
5,000000000E-1	1,087273895E0	1,831297282E-3
5,100000000E-1	1,110586208E0	1,016736184E-2
5,200000000E-1	1,134798110E0	1,790939411E-2
5,300000000E-1	1,158708319E0	2,621919230E-2
